CB10,CB11,CB12,CB13,CB14,CB15,CB16,CB17,CB18,CB1,CB20,CB21,CB22,CB23,CB3,CB4,CB5,CB6,CB8,CB9
GSM5194580,GSM5194581,GSM5194582,GSM5194583,GSM5194584,GSM5194585,GSM5194586,GSM5194587,GSM5194588,GSM5194589,GSM5194590,GSM5194591,GSM5194592,GSM5194593,GSM5194594,GSM5194595,GSM5194596,GSM5194597,GSM5194598,GSM5194599
healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,unhealthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
